_id,图片,类型,名称,弹长,简介,弹重,研发单位,大类,弹径,制导系统,最大速度,射程,研制时间,产国
{'$oid': '5cc9338a831b973d657f21ce'},http://images.huanqiu.com/sarons/2013/11/4217234d526aaaeed17fd26f587749f5.jpg,舰空导弹,FL-3000N飞弩防空导弹武器,1.9米,"
国产新型防空武器系统FL3000N“飞豹”首次亮相珠海航展。该系统是中国航天科技集团最新研制的可用于海陆多重作战环境的近程防御导弹系统。它拥有多组合发射模式，在现场展出的是舰载24联装的导弹发射装置。其外形与美国海拉姆舰载近防系统非常类似。除此之外还有专门为陆军使用的车载8联装发射装置。
",20千克,NULL,导弹武器,0.9米,NULL,NULL,6千米,NULL,中国
{'$oid': '5cc9338a831b973d657f21cf'},,舰空导弹,红旗-61B防空导弹,3.99米,"
红旗61号防空导弹是中国人民解放军装备的近程防空导弹，1965年开始研制，70年代装备于海军053K型护卫舰上用于实验。直至80年代才正式装备部队。是解放军海军装备的第一代舰队空导弹武器系统。陆基型为红旗-61，海基型为红旗-61B。

1975年“红旗”-61B开始上舰试验，1986年进行海上设计定型飞行试验，顺利定型。
",300千克,NULL,导弹武器,0.286米,指令制导，半主动雷达,NULL,10千米,1965年9月,中国
{'$oid': '5cc9338a831b973d657f21d0'},http://images.huanqiu.com/sarons/2013/11/6b2d2588fef4b8768b3ad62f78373467.jpg,舰空导弹,SA-N-6“雷声”舰对空导弹,7.5米,"
1969年开始研制，1984年服役，是世界上最早的舰载垂直发射导弹系统，用于替换大型导弹巡洋舰上的M-11风暴（SA-N-3）系统。其出口型称为里夫 Rif（俄语： Риф — 暗礁 reef）。
",1600千克,NULL,导弹武器,0.45米,指令制导与半主动雷达制导,NULL,135千米,20世纪70年代,苏/俄
{'$oid': '5cc9338a831b973d657f21d1'},,舰空导弹,“矛”-IR舰空导弹,3.32米,"
“矛”-IR舰空导弹其实是南非SAHV-IR地空导弹的改进型，它飞行速度可达650米/秒，导弹最大射程为5公里，最小射程300米。
",130千克,NULL,导弹武器,0.18米,惯性制导+红外制导,NULL,12千米,NULL,南非
{'$oid': '5cc9338b831b973d657f21d2'},http://images.huanqiu.com/sarons/2014/01/e8b435845dce4a202cdb33d909c37cba.jpg,舰空导弹,海猫(Sea Cat)舰空导弹,1.48米,"
海猫舰空导弹是一种武器，主要用于点防御，对付接近舰艇的低空飞机。该弹分为基本型与改进型，由导弹、一个四联装发射架和一个GWS20火控系统组成。先后出口到十多个国家。
",68千克,英国肖特兄弟公司 ,导弹武器,0.19米,半自动无线电指令制导,NULL,5.5千米,20世纪50年代中期,英国
{'$oid': '5cc9338b831b973d657f21d3'},http://images.huanqiu.com/sarons/2013/11/c54cada391fdbe59f28512ce2c4e4b56.jpg,舰空导弹,“紫苑”系列舰空导弹,4.2米,"
紫苑”导弹是当今世界上可与美国“标准”系列导弹相媲美的防空导弹武器系统，目前被誉为“欧洲21世纪全天侯、全方位的防空导弹系统”。按照目前计划，“紫苑”导弹将逐渐成为欧盟陆、海、空三军多用途防御系统，以替代现有的“小懈树”、“罗兰特”、“奈基”、“海麻雀”等多型陆基和海基防空导弹系统。作为防空导弹系统，“紫苑”防空导弹有两种型号：分别为“紫苑”-15和“紫苑”-30两种型号。
",310千克,欧洲导弹公司（MBDA）,导弹武器,0.18米,惯性+指令+末端主动雷达制导,NULL,30千米,1989年6月9日,法国
{'$oid': '5cc9338b831b973d657f21d4'},http://images.huanqiu.com/sarons/2013/11/217d9181fb37ebfd39282a6c33c470b1.jpg,舰空导弹,SA-N-3“高脚杯”（goblet）/“风暴”（Storm）防空导弹,6.1米,"
М-11“Шторм/风暴”型双联装舰空导弹发射装置，北约代号SA-N-3，绰号“Goblet/高脚杯”，配备V-611（В-611）即4К60型导弹48枚。
",845千克,NULL,导弹武器,NULL,主动雷达导引,NULL,55千米,1967年,苏/俄
{'$oid': '5cc9338b831b973d657f21d5'},http://images.huanqiu.com/sarons/2014/01/5c697258b884f82eccfbd7024745460d.jpg,舰空导弹,海参（Sea Slug）中程防空导弹,6米,"
在1949年，皇家海军开始发展海参（Sea Slug）中程防空导弹，以强化航空母舰外围护航舰艇的防空能力。为了配合海参导弹，皇家海军也开始规划一些防空巡洋舰与防空驱逐舰的提案。
",2080千克,NULL,导弹武器,0.42米,NULL,NULL,27千米,1949年,英国
{'$oid': '5cc9338b831b973d657f21d6'},http://images.huanqiu.com/sarons/2014/03/e31edfa37ed1b49038def1a16549474e.jpg,舰空导弹,S-75德维纳河/SA-2导线舰空导弹,10.726米,SA-2型地空导弹S-75“德维纳河”Dvina (Двина)地空导弹是一种著名的防空导弹，北约代号SA-2“导线”。为前苏联制造的第一代全天候中程、中、高空地对空导弹武器系统，1953年研制，1957年开始装备部队。主要担负国土和要地防安任务，重点对付远程轰炸机和侦察机。,2163千克,NULL,导弹武器,0.645米,雷达站无线电信号导引,NULL,48千米,1956年,苏/俄
{'$oid': '5cc9338c831b973d657f21d7'},http://images.huanqiu.com/sarons/2013/11/1149d9567432d5368f392021a0df098e.jpg,舰空导弹,“刺猬”舰对空导弹,NULL,"
90年代初，俄罗斯对SA-N-7进行改进，使武器的射程和拦截掠海导弹的能力有了进一步提高，这种改进型号西方称之为SA-N-12，俄罗斯命名为“刺猬”，采用9M38M2型导弹。改进型的导弹增长了0.2m，射程扩大到38km。
",NULL,“牛郎星”（Altair）科研生产联合体,导弹武器,NULL,无线电指令修正和末段雷达半,830千米/小时,38千米,NULL,苏/俄
{'$oid': '5cc9338c831b973d657f21d8'},,舰空导弹,SA-N-5“格雷尔/圣杯”防空导弹,1.42米,"
这是从前苏联陆用型SA-7肩射式防空导弹改良而来的一种睛天候近程、低空舰对空导弹武器系统，主要用于对付空中低速目标，保护舰船自身免受空中攻击。
",9.15千克,NULL,导弹武器,0.72米,红外被动寻,NULL,3.6千米,20世纪60年代,苏/俄
{'$oid': '5cc9338c831b973d657f21d9'},http://images.huanqiu.com/sarons/2013/11/4b9cc77a9fd33599df169027304377ef.jpg,舰空导弹,黄铜骑士舰空导弹,11.58米,"
二战后，美国海军进入导弹时代的代表。它采用了马赫数在2.0至3.0之间的液体冲压发动机作为动力装置的导弹系统，可以不用自带氧化剂，而且全程不减速，对付机动目标时有更多的能量。与""小猎犬""、""鞑靼人""形成美国海军第一代舰艇编队防空舰空导弹系列。
",3538千克,邦迪克斯公司 ,导弹武器,0.71米,架束制导＋半主动雷达制导的复合制导,NULL,185千米,20世纪50年代,美国
{'$oid': '5cc9338c831b973d657f21da'},http://images.huanqiu.com/sarons/2014/01/71b3a89eaa5d0b5773f9181891609b0f.jpg,舰空导弹,增强型海麻雀(ESSM)导弹,3.66米,"
ESSM是雷声公司为美国海军研制的舰空导弹，是RIM-7M“海麻雀”的改进型，可对付技术先进的高速、低雷达截面的机动型反舰导弹。2004年1月获得了批量生产许可，将装备在 航空母舰、“提康德罗加”级“宙斯盾”巡洋舰、“阿利伯克”级“宙斯盾”驱逐舰和下一代DD(x)驱逐舰上。
",280千克,雷声公司,导弹武器,0.254米,半主动雷达寻,NULL,50千米,NULL,美国
{'$oid': '5cc9338c831b973d657f21db'},http://images.huanqiu.com/sarons/2013/11/83339be0528f6d51306280b4ed17f3cb.jpg,舰空导弹,RIM-24“鞑靼人”舰空导弹,4.6米,"
鞑靼人防空导弹，代号RIM-24，它是美国第一代舰空导弹系统，1958年开始研制，是美国海军装备的全天候、中近程、中低空舰对空导弹武器系统，它是“三T”导弹系统中体积最小，距离最短的舰对空导弹，它与“小猎犬”，“黄铜骑士”一起，共同担负舰队的防空任务。
",680千克,雷声公司,导弹武器,0.3米,全程半主动雷达寻,NULL,16千米,1958年,美国
{'$oid': '5cc9338d831b973d657f21dc'},,舰空导弹,海狼（Sea-Wolf )防空导弹,1.9米,"
海狼防空导弹（英语：Sea-Wolf Anti-aircraft Missile）是上世纪七十年代英国飞机公司（British Aircraft Corporation，BAC）现英国航空航天（British Aerospace，BAE）推出的舰载近程点防空导弹系统。海狼防空导弹可由常规发射器发射（GWS-25）或由舰载垂直发射系统发射（GWS-26），并配备在22型护卫舰和23型护卫舰上参与了福克兰群岛战争和海湾战争。
",82千克,英国航空航天BAC（BAE）,导弹武器,0.3米,自动指挥至瞄准（Automatic Command to Line of Sight，ACLOS）导引方式,NULL,10千米,1967年,英国
{'$oid': '5cc9338d831b973d657f21dd'},http://images.huanqiu.com/sarons/2014/01/b9020968baba2768186215d571385a7b.jpg,舰空导弹,海镖（Sea Dart）导弹,4.4米,"
海镖导弹（Sea Dart）是英国皇家海军水面舰艇所配备的舰队空区域防空导弹，曾经在1982年福克兰群岛战争中首次参加实战，并且有击落阿根廷军机的纪录。
",550千克,NULL,导弹武器,0.42米,半主动雷达,NULL,150千米,1962年,英国
